,GFI,Fk Level,Fre
Student01,8.3,6.94,65.54
Student02,8.69,6.53,67.63
Student03,7.92,7.51,60.64
Student04,10.08,8.35,57.34
Student05,11.35,8.88,53.51
Student06,9.2,7.88,65.42
Student07,11.54,10.33,54.71
Student08,7.88,6.69,67.5
Student09,12.92,8.84,53.55
Student10,13.25,9.74,49.78
Student11,11.85,10.52,45.33
Student12,11.85,10.52,45.33
Student13,13.41,10.84,46.34
Student14,15.0,11.46,41.99
Student15,13.25,11.34,44.87
Student16,10.55,8.87,59.16
Student17,12.98,10.9,47.28
Student18,13.7,11.4,40.78
Student19,15.56,13.65,32.85
Student20,8.71,7.5,64.85
Student21,8.71,7.5,64.85
Student22,10.9,9.44,51.46
Student23,13.67,11.2,38.6
Student24,13.67,11.2,38.6
Student25,13.02,10.66,60.88
Student26,15.94,14.51,29.01
Student27,9.44,7.68,67.2
Student28,20.18,15.72,14.46
Student29,13.54,11.39,39.92
Student30,11.12,8.74,55.86
Student31,13.27,10.93,47.2
Student32,10.89,8.28,64.14
Student33,10.78,9.99,51.54
Student34,13.78,12.23,36.18
Student35,12.69,10.38,46.71
Student36,14.18,11.66,43.42
Student37,14.25,12.05,37.03
Student38,13.96,9.9,47.76
Student39,13.0,9.92,56.45
Student40,12.58,9.07,48.98
Student41,13.54,11.42,46.74
Student42,13.66,11.03,50.02
Student43,9.77,7.95,63.92
Student44,12.06,9.81,49.56
Student45,11.35,10.11,52.63
Student46,10.47,8.21,58.43
Student47,14.18,11.36,41.74
Student48,11.91,10.32,52.07
Student49,14.9,11.25,43.91
Student50,13.47,11.62,41.03
Student51,10.99,8.34,61.62
